transaction_id,line_no,transaction_date,account_number,fund_id,subsidiary_id,debit_amount,credit_amount,memo,source_gift_id
JE-000014,1,2025-10-30,1000,FND-008,SUB-01,267.0,0.0,Gift receipt GFT-000014,GFT-000014
JE-000014,2,2025-10-30,4100,FND-008,SUB-01,0.0,267.0,Gift receipt GFT-000014,GFT-000014
JE-000015,1,2023-12-19,1000,FND-001,SUB-01,45.76,0.0,Gift receipt GFT-000015,GFT-000015
JE-000015,2,2023-12-19,4100,FND-001,SUB-01,0.0,45.76,Gift receipt GFT-000015,GFT-000015
JE-000016,1,2025-02-21,1000,FND-005,SUB-01,887.26,0.0,Gift receipt GFT-000016,GFT-000016
JE-000016,2,2025-02-21,4100,FND-005,SUB-01,0.0,887.26,Gift receipt GFT-000016,GFT-000016
JE-000017,1,2025-02-11,1000,FND-008,SUB-01,264.28,0.0,Gift receipt GFT-000017,GFT-000017
JE-000017,2,2025-02-11,4100,FND-008,SUB-01,0.0,264.28,Gift receipt GFT-000017,GFT-000017
JE-000018,1,2026-05-12,1000,FND-002,SUB-01,299.59,0.0,Gift receipt GFT-000018,GFT-000018
JE-000018,2,2026-05-12,4100,FND-002,SUB-01,0.0,299.59,Gift receipt GFT-000018,GFT-000018
JE-000019,1,2025-08-10,1000,FND-001,SUB-01,367.6,0.0,Gift receipt GFT-000019,GFT-000019
JE-000019,2,2025-08-10,4100,FND-001,SUB-01,0.0,367.6,Gift receipt GFT-000019,GFT-000019
JE-000020,1,2024-09-20,1000,FND-002,SUB-01,782.17,0.0,Gift receipt GFT-000020,GFT-000020
JE-000020,2,2024-09-20,4100,FND-002,SUB-01,0.0,782.17,Gift receipt GFT-000020,GFT-000020
JE-000021,1,2025-03-01,1000,FND-008,SUB-01,225.02,0.0,Gift receipt GFT-000021,GFT-000021
JE-000021,2,2025-03-01,4100,FND-008,SUB-01,0.0,225.02,Gift receipt GFT-000021,GFT-000021
JE-000022,1,2025-06-15,1000,FND-008,SUB-01,395.4,0.0,Gift receipt GFT-000022,GFT-000022
JE-000022,2,2025-06-15,4100,FND-008,SUB-01,0.0,395.4,Gift receipt GFT-000022,GFT-000022
JE-000023,1,2024-10-30,1000,FND-006,SUB-01,86.14,0.0,Gift receipt GFT-000023,GFT-000023
JE-000023,2,2024-10-30,4100,FND-006,SUB-01,0.0,86.14,Gift receipt GFT-000023,GFT-000023
JE-000024,1,2024-06-04,1000,FND-004,SUB-01,1314.27,0.0,Gift receipt GFT-000024,GFT-000024
JE-000024,2,2024-06-04,4000,FND-004,SUB-01,0.0,1314.27,Gift receipt GFT-000024,GFT-000024
JE-000025,1,2023-10-31,1000,FND-006,SUB-01,208.7,0.0,Gift receipt GFT-000025,GFT-000025
JE-000025,2,2023-10-31,4100,FND-006,SUB-01,0.0,208.7,Gift receipt GFT-000025,GFT-000025
JE-000026,1,2025-01-28,1000,FND-003,SUB-01,85.7,0.0,Gift receipt GFT-000026,GFT-000026
JE-000026,2,2025-01-28,4100,FND-003,SUB-01,0.0,85.7,Gift receipt GFT-000026,GFT-000026
JE-000027,1,2025-02-19,1000,FND-005,SUB-02,110.96,0.0,Gift receipt GFT-000027,GFT-000027
JE-000027,2,2025-02-19,4100,FND-005,SUB-02,0.0,110.96,Gift receipt GFT-000027,GFT-000027
JE-000028,1,2024-01-14,1000,FND-007,SUB-01,22.68,0.0,Gift receipt GFT-000028,GFT-000028
JE-000028,2,2024-01-14,4100,FND-007,SUB-01,0.0,22.68,Gift receipt GFT-000028,GFT-000028
JE-000029,1,2025-01-18,1000,FND-003,SUB-01,110.22,0.0,Gift receipt GFT-000029,GFT-000029
JE-000029,2,2025-01-18,4100,FND-003,SUB-01,0.0,110.22,Gift receipt GFT-000029,GFT-000029
JE-000030,1,2024-04-25,1000,FND-004,SUB-01,12.6,0.0,Gift receipt GFT-000030,GFT-000030
JE-000030,2,2024-04-25,4000,FND-004,SUB-01,0.0,12.6,Gift receipt GFT-000030,GFT-000030
JE-000031,1,2026-03-31,1000,FND-005,SUB-01,430.26,0.0,Gift receipt GFT-000031,GFT-000031
JE-000031,2,2026-03-31,4100,FND-005,SUB-01,0.0,430.26,Gift receipt GFT-000031,GFT-000031
JE-000032,1,2025-08-07,1000,FND-002,SUB-01,289.46,0.0,Gift receipt GFT-000032,GFT-000032
JE-000032,2,2025-08-07,4100,FND-002,SUB-01,0.0,289.46,Gift receipt GFT-000032,GFT-000032
JE-000033,1,2025-10-04,1000,FND-005,SUB-01,62.57,0.0,Gift receipt GFT-000033,GFT-000033
JE-000033,2,2025-10-04,4100,FND-005,SUB-01,0.0,62.57,Gift receipt GFT-000033,GFT-000033
JE-000034,1,2026-01-19,1000,FND-006,SUB-01,172.0,0.0,Gift receipt GFT-000034,GFT-000034
JE-000034,2,2026-01-19,4100,FND-006,SUB-01,0.0,172.0,Gift receipt GFT-000034,GFT-000034
JE-000035,1,2024-01-09,1000,FND-006,SUB-01,180.56,0.0,Gift receipt GFT-000035,GFT-000035
JE-000035,2,2024-01-09,4100,FND-006,SUB-01,0.0,180.56,Gift receipt GFT-000035,GFT-000035
JE-000036,1,2026-06-30,1000,FND-004,SUB-01,50.69,0.0,Gift receipt GFT-000036,GFT-000036
JE-000036,2,2026-06-30,4000,FND-004,SUB-01,0.0,50.69,Gift receipt GFT-000036,GFT-000036
JE-000037,1,2024-09-11,1000,FND-005,SUB-01,142.16,0.0,Gift receipt GFT-000037,GFT-000037
JE-000037,2,2024-09-11,4100,FND-005,SUB-01,0.0,142.16,Gift receipt GFT-000037,GFT-000037
JE-000038,1,2025-01-31,1000,FND-003,SUB-01,186.71,0.0,Gift receipt GFT-000038,GFT-000038
JE-000038,2,2025-01-31,4100,FND-003,SUB-01,0.0,186.71,Gift receipt GFT-000038,GFT-000038
JE-000039,1,2025-06-03,1000,FND-001,SUB-01,138.12,0.0,Gift receipt GFT-000039,GFT-000039
JE-000039,2,2025-06-03,4100,FND-001,SUB-01,0.0,138.12,Gift receipt GFT-000039,GFT-000039
JE-000040,1,2026-01-30,1000,FND-002,SUB-01,85.61,0.0,Gift receipt GFT-000040,GFT-000040
JE-000040,2,2026-01-30,4100,FND-002,SUB-01,0.0,85.61,Gift receipt GFT-000040,GFT-000040
JE-000041,1,2025-12-21,1000,FND-001,SUB-01,60.23,0.0,Gift receipt GFT-000041,GFT-000041
JE-000041,2,2025-12-21,4100,FND-001,SUB-01,0.0,60.23,Gift receipt GFT-000041,GFT-000041
JE-000042,1,2024-08-18,1000,FND-005,SUB-01,133.06,0.0,Gift receipt GFT-000042,GFT-000042
JE-000042,2,2024-08-18,4100,FND-005,SUB-01,0.0,133.06,Gift receipt GFT-000042,GFT-000042
JE-000043,1,2025-01-14,1000,FND-006,SUB-01,96.71,0.0,Gift receipt GFT-000043,GFT-000043
JE-000043,2,2025-01-14,4100,FND-006,SUB-01,0.0,96.71,Gift receipt GFT-000043,GFT-000043
JE-000044,1,2023-12-16,1000,FND-003,SUB-01,340.3,0.0,Gift receipt GFT-000044,GFT-000044
JE-000044,2,2023-12-16,4100,FND-003,SUB-01,0.0,340.3,Gift receipt GFT-000044,GFT-000044
JE-000045,1,2025-09-20,1000,FND-004,SUB-01,844.96,0.0,Gift receipt GFT-000045,GFT-000045
JE-000045,2,2025-09-20,4000,FND-004,SUB-01,0.0,844.96,Gift receipt GFT-000045,GFT-000045
JE-000046,1,2024-01-03,1000,FND-001,SUB-01,501.25,0.0,Gift receipt GFT-000046,GFT-000046
JE-000046,2,2024-01-03,4100,FND-001,SUB-01,0.0,501.25,Gift receipt GFT-000046,GFT-000046
JE-000047,1,2026-03-03,1000,FND-003,SUB-01,193.56,0.0,Gift receipt GFT-000047,GFT-000047
JE-000047,2,2026-03-03,4100,FND-003,SUB-01,0.0,193.56,Gift receipt GFT-000047,GFT-000047
JE-000048,1,2026-05-29,1000,FND-001,SUB-01,88.98,0.0,Gift receipt GFT-000048,GFT-000048
JE-000048,2,2026-05-29,4100,FND-001,SUB-01,0.0,88.98,Gift receipt GFT-000048,GFT-000048
JE-000049,1,2025-06-03,1000,FND-007,SUB-01,485.27,0.0,Gift receipt GFT-000049,GFT-000049
JE-000049,2,2025-06-03,4100,FND-007,SUB-01,0.0,485.27,Gift receipt GFT-000049,GFT-000049
JE-000050,1,2026-03-05,1000,FND-004,SUB-01,364.56,0.0,Gift receipt GFT-000050,GFT-000050
JE-000050,2,2026-03-05,4000,FND-004,SUB-01,0.0,364.56,Gift receipt GFT-000050,GFT-000050
JE-000051,1,2023-12-31,1000,FND-002,SUB-01,772.11,0.0,Gift receipt GFT-000051,GFT-000051
JE-000051,2,2023-12-31,4100,FND-002,SUB-01,0.0,772.11,Gift receipt GFT-000051,GFT-000051
JE-000052,1,2025-07-22,1000,FND-003,SUB-01,225.28,0.0,Gift receipt GFT-000052,GFT-000052
JE-000052,2,2025-07-22,4100,FND-003,SUB-01,0.0,225.28,Gift receipt GFT-000052,GFT-000052
JE-000053,1,2024-03-29,1000,FND-002,SUB-01,1223.61,0.0,Gift receipt GFT-000053,GFT-000053
JE-000053,2,2024-03-29,4100,FND-002,SUB-01,0.0,1223.61,Gift receipt GFT-000053,GFT-000053
JE-000054,1,2023-07-19,1000,FND-008,SUB-01,225.36,0.0,Gift receipt GFT-000054,GFT-000054
JE-000054,2,2023-07-19,4100,FND-008,SUB-01,0.0,225.36,Gift receipt GFT-000054,GFT-000054
JE-000055,1,2024-09-09,1000,FND-007,SUB-01,88.54,0.0,Gift receipt GFT-000055,GFT-000055
JE-000055,2,2024-09-09,4100,FND-007,SUB-01,0.0,88.54,Gift receipt GFT-000055,GFT-000055
JE-000056,1,2024-09-19,1000,FND-002,SUB-01,106.46,0.0,Gift receipt GFT-000056,GFT-000056
JE-000056,2,2024-09-19,4100,FND-002,SUB-01,0.0,106.46,Gift receipt GFT-000056,GFT-000056
JE-000057,1,2024-03-11,1000,FND-007,SUB-01,322.18,0.0,Gift receipt GFT-000057,GFT-000057
JE-000057,2,2024-03-11,4100,FND-007,SUB-01,0.0,322.18,Gift receipt GFT-000057,GFT-000057
JE-000058,1,2025-11-28,1000,FND-003,SUB-01,96.44,0.0,Gift receipt GFT-000058,GFT-000058
JE-000058,2,2025-11-28,4100,FND-003,SUB-01,0.0,96.44,Gift receipt GFT-000058,GFT-000058
JE-000059,1,2025-01-19,1000,FND-004,SUB-01,1212.33,0.0,Gift receipt GFT-000059,GFT-000059
JE-000059,2,2025-01-19,4000,FND-004,SUB-01,0.0,1212.33,Gift receipt GFT-000059,GFT-000059
JE-000060,1,2025-02-04,1000,FND-005,SUB-01,292.94,0.0,Gift receipt GFT-000060,GFT-000060
JE-000060,2,2025-02-04,4100,FND-005,SUB-01,0.0,292.94,Gift receipt GFT-000060,GFT-000060
JE-000061,1,2026-05-27,1000,FND-004,SUB-02,189.01,0.0,Gift receipt GFT-000061,GFT-000061
JE-000061,2,2026-05-27,4000,FND-004,SUB-02,0.0,189.01,Gift receipt GFT-000061,GFT-000061
JE-000062,1,2025-02-25,1000,FND-004,SUB-01,206.86,0.0,Gift receipt GFT-000062,GFT-000062
JE-000062,2,2025-02-25,4000,FND-004,SUB-01,0.0,206.86,Gift receipt GFT-000062,GFT-000062
JE-000063,1,2025-08-29,1000,FND-004,SUB-01,136.58,0.0,Gift receipt GFT-000063,GFT-000063
JE-000063,2,2025-08-29,4000,FND-004,SUB-01,0.0,136.58,Gift receipt GFT-000063,GFT-000063
JE-000064,1,2023-11-26,1000,FND-001,SUB-01,28.92,0.0,Gift receipt GFT-000064,GFT-000064
JE-000064,2,2023-11-26,4100,FND-001,SUB-01,0.0,28.92,Gift receipt GFT-000064,GFT-000064
JE-000065,1,2025-04-10,1000,FND-007,SUB-01,106.54,0.0,Gift receipt GFT-000065,GFT-000065
JE-000065,2,2025-04-10,4100,FND-007,SUB-01,0.0,106.54,Gift receipt GFT-000065,GFT-000065
JE-000066,1,2025-07-21,1000,FND-003,SUB-01,1023.91,0.0,Gift receipt GFT-000066,GFT-000066
JE-000066,2,2025-07-21,4100,FND-003,SUB-01,0.0,1023.91,Gift receipt GFT-000066,GFT-000066
JE-000067,1,2023-11-29,1000,FND-002,SUB-01,232.04,0.0,Gift receipt GFT-000067,GFT-000067
JE-000067,2,2023-11-29,4100,FND-002,SUB-01,0.0,232.04,Gift receipt GFT-000067,GFT-000067
JE-000068,1,2024-12-20,1000,FND-001,SUB-01,573.53,0.0,Gift receipt GFT-000068,GFT-000068
JE-000068,2,2024-12-20,4100,FND-001,SUB-01,0.0,573.53,Gift receipt GFT-000068,GFT-000068
JE-000069,1,2025-09-23,1000,FND-005,SUB-01,593.8,0.0,Gift receipt GFT-000069,GFT-000069
JE-000069,2,2025-09-23,4100,FND-005,SUB-01,0.0,593.8,Gift receipt GFT-000069,GFT-000069
JE-000070,1,2025-10-31,1000,FND-007,SUB-01,173.75,0.0,Gift receipt GFT-000070,GFT-000070
JE-000070,2,2025-10-31,4100,FND-007,SUB-01,0.0,173.75,Gift receipt GFT-000070,GFT-000070
JE-000071,1,2024-05-11,1000,FND-002,SUB-01,371.5,0.0,Gift receipt GFT-000071,GFT-000071
JE-000071,2,2024-05-11,4100,FND-002,SUB-01,0.0,371.5,Gift receipt GFT-000071,GFT-000071
JE-000072,1,2023-12-09,1000,FND-004,SUB-02,32.01,0.0,Gift receipt GFT-000072,GFT-000072
JE-000072,2,2023-12-09,4000,FND-004,SUB-02,0.0,32.01,Gift receipt GFT-000072,GFT-000072
JE-000073,1,2025-05-01,1000,FND-002,SUB-02,919.84,0.0,Gift receipt GFT-000073,GFT-000073
JE-000073,2,2025-05-01,4100,FND-002,SUB-02,0.0,919.84,Gift receipt GFT-000073,GFT-000073
JE-000074,1,2025-12-12,1000,FND-001,SUB-01,827.24,0.0,Gift receipt GFT-000074,GFT-000074
JE-000074,2,2025-12-12,4100,FND-001,SUB-01,0.0,827.24,Gift receipt GFT-000074,GFT-000074
JE-000075,1,2023-12-24,1000,FND-002,SUB-01,312.13,0.0,Gift receipt GFT-000075,GFT-000075
JE-000075,2,2023-12-24,4100,FND-002,SUB-01,0.0,312.13,Gift receipt GFT-000075,GFT-000075
JE-000076,1,2023-10-24,1000,FND-003,SUB-01,241.47,0.0,Gift receipt GFT-000076,GFT-000076
JE-000076,2,2023-10-24,4100,FND-003,SUB-01,0.0,241.47,Gift receipt GFT-000076,GFT-000076
JE-000077,1,2023-07-29,1000,FND-001,SUB-01,176.25,0.0,Gift receipt GFT-000077,GFT-000077
JE-000077,2,2023-07-29,4100,FND-001,SUB-01,0.0,176.25,Gift receipt GFT-000077,GFT-000077
JE-000078,1,2026-04-14,1000,FND-005,SUB-01,658.52,0.0,Gift receipt GFT-000078,GFT-000078
JE-000078,2,2026-04-14,4100,FND-005,SUB-01,0.0,658.52,Gift receipt GFT-000078,GFT-000078
JE-000079,1,2025-08-02,1000,FND-005,SUB-01,423.63,0.0,Gift receipt GFT-000079,GFT-000079
JE-000079,2,2025-08-02,4100,FND-005,SUB-01,0.0,423.63,Gift receipt GFT-000079,GFT-000079
JE-000080,1,2023-08-30,1000,FND-007,SUB-01,7.9,0.0,Gift receipt GFT-000080,GFT-000080
JE-000080,2,2023-08-30,4100,FND-007,SUB-01,0.0,7.9,Gift receipt GFT-000080,GFT-000080
JE-000081,1,2026-06-07,1000,FND-005,SUB-02,121.67,0.0,Gift receipt GFT-000081,GFT-000081
JE-000081,2,2026-06-07,4100,FND-005,SUB-02,0.0,121.67,Gift receipt GFT-000081,GFT-000081
JE-000082,1,2026-04-12,1000,FND-006,SUB-01,52.9,0.0,Gift receipt GFT-000082,GFT-000082
JE-000082,2,2026-04-12,4100,FND-006,SUB-01,0.0,52.9,Gift receipt GFT-000082,GFT-000082
JE-000083,1,2026-04-19,1000,FND-003,SUB-01,43.63,0.0,Gift receipt GFT-000083,GFT-000083
JE-000083,2,2026-04-19,4100,FND-003,SUB-01,0.0,43.63,Gift receipt GFT-000083,GFT-000083
JE-000084,1,2024-05-18,1000,FND-002,SUB-01,649.96,0.0,Gift receipt GFT-000084,GFT-000084
JE-000084,2,2024-05-18,4100,FND-002,SUB-01,0.0,649.96,Gift receipt GFT-000084,GFT-000084
JE-000085,1,2024-10-10,1000,FND-001,SUB-01,172.15,0.0,Gift receipt GFT-000085,GFT-000085
JE-000085,2,2024-10-10,4100,FND-001,SUB-01,0.0,172.15,Gift receipt GFT-000085,GFT-000085
JE-000086,1,2023-07-26,1000,FND-001,SUB-01,306.36,0.0,Gift receipt GFT-000086,GFT-000086
JE-000086,2,2023-07-26,4100,FND-001,SUB-01,0.0,306.36,Gift receipt GFT-000086,GFT-000086
JE-000087,1,2025-07-20,1000,FND-003,SUB-01,197.26,0.0,Gift receipt GFT-000087,GFT-000087
JE-000087,2,2025-07-20,4100,FND-003,SUB-01,0.0,197.26,Gift receipt GFT-000087,GFT-000087
JE-000088,1,2023-10-01,1000,FND-007,SUB-01,44.2,0.0,Gift receipt GFT-000088,GFT-000088
JE-000088,2,2023-10-01,4100,FND-007,SUB-01,0.0,44.2,Gift receipt GFT-000088,GFT-000088
JE-000089,1,2025-04-20,1000,FND-007,SUB-01,32.71,0.0,Gift receipt GFT-000089,GFT-000089
JE-000089,2,2025-04-20,4100,FND-007,SUB-01,0.0,32.71,Gift receipt GFT-000089,GFT-000089
JE-000090,1,2025-01-07,1000,FND-006,SUB-01,113.19,0.0,Gift receipt GFT-000090,GFT-000090
JE-000090,2,2025-01-07,4100,FND-006,SUB-01,0.0,113.19,Gift receipt GFT-000090,GFT-000090
JE-000091,1,2026-04-25,1000,FND-003,SUB-01,123.53,0.0,Gift receipt GFT-000091,GFT-000091
JE-000091,2,2026-04-25,4100,FND-003,SUB-01,0.0,123.53,Gift receipt GFT-000091,GFT-000091
JE-000092,1,2026-05-22,1000,FND-007,SUB-01,123.45,0.0,Gift receipt GFT-000092,GFT-000092
JE-000092,2,2026-05-22,4100,FND-007,SUB-01,0.0,123.45,Gift receipt GFT-000092,GFT-000092
JE-000093,1,2026-02-10,1000,FND-005,SUB-01,127.26,0.0,Gift receipt GFT-000093,GFT-000093
JE-000093,2,2026-02-10,4100,FND-005,SUB-01,0.0,127.26,Gift receipt GFT-000093,GFT-000093
JE-000094,1,2023-12-25,1000,FND-008,SUB-02,1780.1,0.0,Gift receipt GFT-000094,GFT-000094
JE-000094,2,2023-12-25,4100,FND-008,SUB-02,0.0,1780.1,Gift receipt GFT-000094,GFT-000094
JE-000095,1,2025-07-26,1000,FND-005,SUB-01,563.02,0.0,Gift receipt GFT-000095,GFT-000095
JE-000095,2,2025-07-26,4100,FND-005,SUB-01,0.0,563.02,Gift receipt GFT-000095,GFT-000095
JE-000096,1,2024-11-09,1000,FND-006,SUB-01,235.73,0.0,Gift receipt GFT-000096,GFT-000096
JE-000096,2,2024-11-09,4100,FND-006,SUB-01,0.0,235.73,Gift receipt GFT-000096,GFT-000096
JE-000097,1,2024-08-05,1000,FND-004,SUB-01,167.54,0.0,Gift receipt GFT-000097,GFT-000097
JE-000097,2,2024-08-05,4000,FND-004,SUB-01,0.0,167.54,Gift receipt GFT-000097,GFT-000097
JE-000098,1,2023-07-15,1000,FND-001,SUB-01,174.0,0.0,Gift receipt GFT-000098,GFT-000098
JE-000098,2,2023-07-15,4100,FND-001,SUB-01,0.0,174.0,Gift receipt GFT-000098,GFT-000098
JE-000099,1,2025-06-09,1000,FND-006,SUB-01,405.82,0.0,Gift receipt GFT-000099,GFT-000099
JE-000099,2,2025-06-09,4100,FND-006,SUB-01,0.0,405.82,Gift receipt GFT-000099,GFT-000099
JE-000100,1,2025-08-09,1000,FND-002,SUB-01,165.87,0.0,Gift receipt GFT-000100,GFT-000100
JE-000100,2,2025-08-09,4100,FND-002,SUB-01,0.0,165.87,Gift receipt GFT-000100,GFT-000100
JE-000101,1,2026-06-20,1000,FND-007,SUB-01,496.69,0.0,Gift receipt GFT-000101,GFT-000101
JE-000101,2,2026-06-20,4100,FND-007,SUB-01,0.0,496.69,Gift receipt GFT-000101,GFT-000101
JE-000102,1,2023-10-31,1000,FND-005,SUB-01,265.37,0.0,Gift receipt GFT-000102,GFT-000102
JE-000102,2,2023-10-31,4100,FND-005,SUB-01,0.0,265.37,Gift receipt GFT-000102,GFT-000102
JE-000103,1,2023-09-29,1000,FND-007,SUB-02,1803.01,0.0,Gift receipt GFT-000103,GFT-000103
JE-000103,2,2023-09-29,4100,FND-007,SUB-02,0.0,1803.01,Gift receipt GFT-000103,GFT-000103
JE-000104,1,2026-01-26,1000,FND-002,SUB-01,155.47,0.0,Gift receipt GFT-000104,GFT-000104
JE-000104,2,2026-01-26,4100,FND-002,SUB-01,0.0,155.47,Gift receipt GFT-000104,GFT-000104
JE-000105,1,2024-04-01,1000,FND-002,SUB-01,613.39,0.0,Gift receipt GFT-000105,GFT-000105
JE-000105,2,2024-04-01,4100,FND-002,SUB-01,0.0,613.39,Gift receipt GFT-000105,GFT-000105
JE-000106,1,2025-12-27,1000,FND-004,SUB-01,57.75,0.0,Gift receipt GFT-000106,GFT-000106
JE-000106,2,2025-12-27,4000,FND-004,SUB-01,0.0,57.75,Gift receipt GFT-000106,GFT-000106
JE-000107,1,2024-12-18,1000,FND-007,SUB-02,91.27,0.0,Gift receipt GFT-000107,GFT-000107
JE-000107,2,2024-12-18,4100,FND-007,SUB-02,0.0,91.27,Gift receipt GFT-000107,GFT-000107
JE-000108,1,2025-04-13,1000,FND-005,SUB-01,1488.37,0.0,Gift receipt GFT-000108,GFT-000108
JE-000108,2,2025-04-13,4100,FND-005,SUB-01,0.0,1488.37,Gift receipt GFT-000108,GFT-000108
JE-000109,1,2023-11-30,1000,FND-003,SUB-02,472.05,0.0,Gift receipt GFT-000109,GFT-000109
JE-000109,2,2023-11-30,4100,FND-003,SUB-02,0.0,472.05,Gift receipt GFT-000109,GFT-000109
JE-000110,1,2024-06-03,1000,FND-003,SUB-01,312.7,0.0,Gift receipt GFT-000110,GFT-000110
JE-000110,2,2024-06-03,4100,FND-003,SUB-01,0.0,312.7,Gift receipt GFT-000110,GFT-000110
JE-000111,1,2026-02-09,1000,FND-007,SUB-01,2549.77,0.0,Gift receipt GFT-000111,GFT-000111
JE-000111,2,2026-02-09,4100,FND-007,SUB-01,0.0,2549.77,Gift receipt GFT-000111,GFT-000111
JE-000112,1,2025-07-04,1000,FND-008,SUB-01,170.14,0.0,Gift receipt GFT-000112,GFT-000112
JE-000112,2,2025-07-04,4100,FND-008,SUB-01,0.0,170.14,Gift receipt GFT-000112,GFT-000112
JE-000113,1,2026-02-03,1000,FND-002,SUB-01,611.6,0.0,Gift receipt GFT-000113,GFT-000113
JE-000113,2,2026-02-03,4100,FND-002,SUB-01,0.0,611.6,Gift receipt GFT-000113,GFT-000113
JE-000114,1,2024-06-07,1000,FND-001,SUB-01,668.97,0.0,Gift receipt GFT-000114,GFT-000114
JE-000114,2,2024-06-07,4100,FND-001,SUB-01,0.0,668.97,Gift receipt GFT-000114,GFT-000114
JE-000115,1,2025-05-02,1000,FND-002,SUB-01,1093.1,0.0,Gift receipt GFT-000115,GFT-000115
JE-000115,2,2025-05-02,4100,FND-002,SUB-01,0.0,1093.1,Gift receipt GFT-000115,GFT-000115
JE-000116,1,2025-06-29,1000,FND-001,SUB-01,51.37,0.0,Gift receipt GFT-000116,GFT-000116
JE-000116,2,2025-06-29,4100,FND-001,SUB-01,0.0,51.37,Gift receipt GFT-000116,GFT-000116
JE-000117,1,2024-12-14,1000,FND-001,SUB-01,168.92,0.0,Gift receipt GFT-000117,GFT-000117
JE-000117,2,2024-12-14,4100,FND-001,SUB-01,0.0,168.92,Gift receipt GFT-000117,GFT-000117
JE-000118,1,2026-01-15,1000,FND-004,SUB-02,260.25,0.0,Gift receipt GFT-000118,GFT-000118
JE-000118,2,2026-01-15,4000,FND-004,SUB-02,0.0,260.25,Gift receipt GFT-000118,GFT-000118
JE-000119,1,2026-02-02,1000,FND-003,SUB-01,1069.65,0.0,Gift receipt GFT-000119,GFT-000119
JE-000119,2,2026-02-02,4100,FND-003,SUB-01,0.0,1069.65,Gift receipt GFT-000119,GFT-000119
JE-000120,1,2023-07-25,1000,FND-004,SUB-01,298.54,0.0,Gift receipt GFT-000120,GFT-000120
JE-000120,2,2023-07-25,4000,FND-004,SUB-01,0.0,298.54,Gift receipt GFT-000120,GFT-000120
JE-000121,1,2024-08-14,1000,FND-006,SUB-01,670.76,0.0,Gift receipt GFT-000121,GFT-000121
JE-000121,2,2024-08-14,4100,FND-006,SUB-01,0.0,670.76,Gift receipt GFT-000121,GFT-000121
JE-000122,1,2024-12-12,1000,FND-001,SUB-02,46.98,0.0,Gift receipt GFT-000122,GFT-000122
