pledge_id,donor_id,fund_id,pledge_date,pledged_amount,paid_amount,status
PLG-00052,DNR-00386,FND-006,2024-01-07,1407.68,800.58,Active
PLG-00053,DNR-00137,FND-004,2024-09-14,311.48,166.59,Active
PLG-00054,DNR-00879,FND-008,2023-08-28,1239.4,1202.7,Active
PLG-00055,DNR-00981,FND-004,2025-02-21,2051.64,1195.23,Active
PLG-00056,DNR-00370,FND-005,2024-03-28,602.68,590.44,Active
PLG-00057,DNR-00554,FND-002,2026-06-10,4924.23,3547.24,Active
PLG-00058,DNR-00471,FND-001,2025-10-21,695.11,628.13,Active
PLG-00059,DNR-00481,FND-007,2025-04-01,2081.38,1538.07,Active
PLG-00060,DNR-01115,FND-002,2025-03-26,891.59,398.39,Active
PLG-00061,DNR-01133,FND-005,2024-05-14,1194.55,516.23,Active
PLG-00062,DNR-00323,FND-005,2024-11-13,125.04,91.97,Active
PLG-00063,DNR-00015,FND-005,2025-12-16,963.96,816.29,Active
PLG-00064,DNR-00187,FND-002,2026-05-20,318.95,168.75,Active
PLG-00065,DNR-00689,FND-007,2025-01-12,285.32,154.25,Active
PLG-00066,DNR-00584,FND-002,2025-03-24,3805.12,785.57,Active
PLG-00067,DNR-01105,FND-002,2024-07-29,537.12,320.12,Active
PLG-00068,DNR-00275,FND-005,2025-04-26,243.89,139.98,Active
PLG-00069,DNR-00115,FND-003,2025-08-28,464.46,460.79,Active
PLG-00070,DNR-00145,FND-001,2024-08-12,181.19,160.91,Active
PLG-00071,DNR-00548,FND-003,2024-06-24,2790.24,1268.57,Active
PLG-00072,DNR-00496,FND-008,2025-08-21,331.73,75.7,Active
PLG-00073,DNR-00868,FND-003,2024-06-08,1129.24,868.27,Active
PLG-00074,DNR-01101,FND-007,2024-01-08,2581.45,1693.12,Active
PLG-00075,DNR-00134,FND-004,2023-08-03,403.37,264.19,Active
PLG-00076,DNR-00626,FND-003,2025-01-25,1132.32,983.56,Active
PLG-00077,DNR-00603,FND-001,2025-08-14,237.44,171.66,Active
PLG-00078,DNR-00385,FND-005,2025-10-17,7675.35,4142.48,Active
PLG-00079,DNR-01060,FND-004,2024-10-30,1696.6,598.99,Active
PLG-00080,DNR-00210,FND-007,2025-12-10,548.61,222.67,Active
PLG-00081,DNR-00077,FND-007,2025-07-11,307.1,283.15,Active
PLG-00082,DNR-00511,FND-003,2025-08-24,593.48,504.19,Active
PLG-00083,DNR-01136,FND-006,2025-06-03,473.44,452.15,Active
PLG-00084,DNR-00697,FND-001,2025-06-11,4688.86,1015.88,Active
PLG-00085,DNR-01146,FND-006,2025-01-08,195.29,64.54,Active
PLG-00086,DNR-00017,FND-004,2025-11-21,761.13,687.54,Active
PLG-00087,DNR-00865,FND-005,2025-04-30,653.06,552.05,Active
PLG-00088,DNR-00964,FND-007,2025-05-03,591.46,217.43,Active
PLG-00089,DNR-01126,FND-004,2023-07-10,596.68,140.72,Active
PLG-00090,DNR-DUP005,FND-006,2025-01-12,592.25,136.28,Active
PLG-00091,DNR-00933,FND-004,2025-01-13,1592.51,492.24,Active
PLG-00092,DNR-00824,FND-007,2026-05-23,1222.9,1209.16,Active
PLG-00093,DNR-DUP006,FND-005,2026-01-21,1011.22,981.18,Active
PLG-00094,DNR-00938,FND-001,2025-12-04,32.01,6.82,Active
PLG-00095,DNR-00535,FND-008,2023-12-16,897.66,599.09,Active
PLG-00096,DNR-00441,FND-005,2026-01-03,127.02,33.61,Active
PLG-00097,DNR-00735,FND-007,2025-12-02,1269.43,358.11,Active
PLG-00098,DNR-00694,FND-002,2026-04-30,2905.9,3341.78,Paid in Full
PLG-00099,DNR-00197,FND-007,2026-04-02,263.42,141.69,Active
PLG-00100,DNR-00371,FND-004,2025-02-01,511.95,373.6,Active
PLG-00101,DNR-00754,FND-007,2026-05-25,365.27,275.94,Active
PLG-00102,DNR-00570,FND-006,2023-08-04,2288.0,1057.36,Active
PLG-00103,DNR-00837,FND-004,2026-03-19,731.45,524.14,Active
PLG-00104,DNR-00542,FND-003,2025-12-07,3745.57,1777.36,Active
PLG-00105,DNR-01100,FND-003,2025-05-09,1006.02,259.23,Active
PLG-00106,DNR-00069,FND-003,2025-05-07,847.64,713.06,Active
PLG-00107,DNR-00493,FND-006,2026-03-31,712.09,174.15,Active
PLG-00108,DNR-00771,FND-005,2026-05-19,1507.17,817.29,Active
PLG-00109,DNR-00843,FND-004,2026-05-25,117.02,116.34,Active
PLG-00110,DNR-00834,FND-001,2025-08-28,724.4,519.73,Active
PLG-00111,DNR-00453,FND-001,2023-12-21,620.15,221.2,Active
PLG-00112,DNR-00290,FND-008,2025-08-11,1373.91,298.67,Active
PLG-00113,DNR-00427,FND-001,2025-02-22,551.31,375.37,Active
PLG-00114,DNR-00756,FND-003,2026-03-29,235.4,168.11,Active
PLG-00115,DNR-00973,FND-001,2024-09-15,670.05,380.41,Active
PLG-00116,DNR-00106,FND-004,2025-11-12,225.24,114.83,Active
PLG-00117,DNR-00577,FND-004,2024-12-10,97.0,36.13,Active
PLG-00118,DNR-00774,FND-004,2024-10-19,1376.26,718.92,Active
PLG-00119,DNR-00309,FND-004,2024-09-28,1186.85,337.02,Active
PLG-00120,DNR-00182,FND-008,2023-10-06,1061.13,526.99,Active
PLG-00121,DNR-00255,FND-008,2025-03-09,2447.76,1367.79,Active
PLG-00122,DNR-00946,FND-007,2024-06-19,342.05,145.01,Active
PLG-00123,DNR-00795,FND-004,2025-09-11,159.0,117.69,Active
PLG-00124,DNR-00085,FND-008,2026-04-11,620.16,344.56,Active
PLG-00125,DNR-00767,FND-005,2025-02-07,469.89,193.58,Active
PLG-00126,DNR-01029,FND-006,2024-04-09,286.49,206.29,Active
PLG-00127,DNR-00914,FND-008,2024-12-01,614.1,411.41,Active
PLG-00128,DNR-00492,FND-008,2025-09-05,360.83,325.66,Active
PLG-00129,DNR-00577,FND-001,2024-12-25,106.06,60.73,Active
PLG-00130,DNR-00984,FND-007,2026-02-11,427.87,384.1,Active
PLG-00131,DNR-00912,FND-006,2024-08-13,213.5,103.28,Active
PLG-00132,DNR-00965,FND-004,2024-08-29,838.53,367.64,Active
PLG-00133,DNR-00067,FND-001,2025-01-19,345.15,85.43,Active
PLG-00134,DNR-00764,FND-007,2025-07-01,2021.57,1598.62,Active
PLG-00135,DNR-00595,FND-005,2025-06-03,3307.23,2582.21,Active
PLG-00136,DNR-00684,FND-007,2025-07-18,1312.1,518.72,Active
PLG-00137,DNR-00411,FND-003,2025-10-20,141.03,55.96,Active
PLG-00138,DNR-00028,FND-001,2024-12-14,2996.49,1629.7,Active
PLG-00139,DNR-01169,FND-002,2023-11-21,3215.44,1842.87,Active
PLG-00140,DNR-00631,FND-006,2025-11-10,677.76,168.05,Active
PLG-00141,DNR-01028,FND-007,2025-04-04,2497.2,654.86,Active
PLG-00142,DNR-00209,FND-006,2026-04-24,383.11,381.15,Active
PLG-00143,DNR-00567,FND-007,2025-11-20,102.9,38.28,Active
PLG-00144,DNR-00964,FND-008,2025-11-17,310.98,81.23,Active
PLG-00145,DNR-00837,FND-008,2023-07-01,3749.21,3519.21,Active
PLG-00146,DNR-01196,FND-007,2025-09-26,149.74,63.57,Active
PLG-00147,DNR-00786,FND-003,2023-08-02,664.82,489.95,Active
PLG-00148,DNR-00756,FND-007,2025-06-02,688.24,545.29,Active
PLG-00149,DNR-00035,FND-002,2025-01-16,398.23,391.21,Active
PLG-00150,DNR-00475,FND-001,2024-07-04,426.87,330.68,Active
PLG-00151,DNR-00866,FND-005,2023-08-05,714.98,471.46,Active
PLG-00152,DNR-00496,FND-007,2024-06-22,379.11,171.52,Active
PLG-00153,DNR-00113,FND-006,2023-11-15,160.44,149.48,Active
PLG-00154,DNR-00796,FND-007,2023-09-05,824.71,307.64,Active
PLG-00155,DNR-00499,FND-004,2024-01-01,1945.68,869.06,Active
PLG-00156,DNR-01025,FND-006,2024-06-08,1586.96,639.01,Active
PLG-00157,DNR-00620,FND-003,2023-07-06,295.97,121.03,Active
PLG-00158,DNR-00578,FND-002,2023-08-04,190.33,66.69,Active
PLG-00159,DNR-00341,FND-004,2026-04-29,500.6,472.58,Active
PLG-00160,DNR-00732,FND-002,2025-10-10,3190.05,1865.16,Active
PLG-00161,DNR-01018,FND-008,2025-03-11,1268.51,673.45,Active
PLG-00162,DNR-00417,FND-006,2023-12-04,1344.75,371.7,Active
PLG-00163,DNR-00290,FND-006,2026-05-18,1619.47,978.79,Active
PLG-00164,DNR-00857,FND-006,2026-06-29,1013.1,505.65,Active
PLG-00165,DNR-01080,FND-006,2024-06-08,750.4,639.17,Active
PLG-00166,DNR-00672,FND-006,2023-10-27,1289.88,973.88,Active
PLG-00167,DNR-00156,FND-003,2025-08-07,385.23,326.32,Active
PLG-00168,DNR-00227,FND-007,2026-01-29,161.67,75.05,Active
PLG-00169,DNR-00441,FND-004,2024-01-15,1370.59,652.58,Active
PLG-00170,DNR-01172,FND-002,2023-09-23,2293.28,1536.67,Active
PLG-00171,DNR-01092,FND-002,2024-12-10,217.41,170.86,Active
PLG-00172,DNR-00261,FND-003,2025-03-30,1513.11,1351.08,Active
PLG-00173,DNR-00758,FND-008,2024-11-07,3571.59,3327.94,Active
PLG-00174,DNR-DUP003,FND-002,2024-06-20,663.65,652.01,Active
PLG-00175,DNR-00968,FND-004,2025-02-24,293.54,73.58,Active
PLG-00176,DNR-00823,FND-002,2024-08-06,752.21,205.01,Active
PLG-00177,DNR-00730,FND-006,2024-08-04,383.55,153.25,Active
PLG-00178,DNR-00657,FND-004,2023-09-18,358.98,315.61,Active
PLG-00179,DNR-00608,FND-001,2026-01-07,1025.75,360.91,Active
PLG-00180,DNR-00205,FND-001,2025-10-12,133.79,73.95,Active
PLG-00181,DNR-00641,FND-006,2026-01-21,156.97,76.67,Active
PLG-00182,DNR-00886,FND-004,2025-03-17,678.1,356.29,Active
PLG-00183,DNR-00246,FND-003,2024-01-18,650.47,299.5,Active
PLG-00184,DNR-00547,FND-006,2024-05-08,937.82,293.62,Active
PLG-00185,DNR-00169,FND-002,2023-08-16,4338.25,1058.8,Active
PLG-00186,DNR-00784,FND-007,2024-01-08,738.42,395.41,Active
PLG-00187,DNR-01079,FND-003,2024-05-23,1209.75,258.66,Active
PLG-00188,DNR-00253,FND-007,2024-04-15,250.75,183.38,Active
PLG-00189,DNR-00258,FND-003,2023-12-19,1433.59,765.43,Active
PLG-00190,DNR-00824,FND-003,2025-08-19,392.92,277.5,Active
PLG-00191,DNR-00782,FND-003,2023-09-01,714.38,620.46,Active
PLG-00192,DNR-01017,FND-002,2023-07-08,596.54,371.8,Active
PLG-00193,DNR-00285,FND-006,2026-04-04,1868.66,390.36,Active
PLG-00194,DNR-00934,FND-001,2024-08-16,179.47,54.49,Active
PLG-00195,DNR-00949,FND-005,2025-05-26,67.81,22.13,Active
PLG-00196,DNR-00521,FND-004,2026-02-03,537.31,372.11,Active
PLG-00197,DNR-00717,FND-002,2025-02-24,1062.66,1011.04,Active
PLG-00198,DNR-00092,FND-006,2026-05-14,774.54,362.28,Active
PLG-00199,DNR-00048,FND-003,2026-05-22,2280.62,2070.04,Active
PLG-00200,DNR-00090,FND-005,2023-08-28,1030.06,535.16,Active
PLG-00201,DNR-00373,FND-005,2023-07-27,378.48,128.23,Active
PLG-00202,DNR-00616,FND-008,2024-12-21,65.01,34.77,Active
PLG-00203,DNR-00699,FND-001,2023-08-17,524.63,294.28,Active
PLG-00204,DNR-01030,FND-006,2025-12-09,1859.31,754.4,Active
PLG-00205,DNR-00419,FND-001,2024-01-09,449.42,230.87,Active
PLG-00206,DNR-00726,FND-007,2024-04-01,684.25,629.83,Active
PLG-00207,DNR-01088,FND-008,2025-08-19,1013.7,381.6,Active
PLG-00208,DNR-00487,FND-002,2024-08-25,240.98,115.21,Active
PLG-00209,DNR-00854,FND-003,2024-04-08,1240.46,634.47,Active
PLG-00210,DNR-00181,FND-002,2024-07-31,3419.06,2990.57,Active
PLG-00211,DNR-00573,FND-008,2025-01-18,559.58,643.52,Paid in Full
PLG-00212,DNR-00164,FND-001,2024-09-11,215.06,157.49,Active
PLG-00213,DNR-00249,FND-005,2026-06-02,622.29,377.82,Active
PLG-00214,DNR-00661,FND-004,2024-06-10,71.92,48.15,Active
PLG-00215,DNR-00631,FND-002,2024-03-06,931.6,894.89,Active
PLG-00216,DNR-00098,FND-006,2024-10-20,1045.52,426.25,Active
PLG-00217,DNR-00491,FND-006,2024-01-07,3553.32,1585.14,Active
PLG-00218,DNR-00441,FND-001,2025-05-09,547.85,529.14,Active
PLG-00219,DNR-00807,FND-008,2023-07-17,1000.73,783.54,Active
PLG-00220,DNR-01046,FND-007,2026-06-17,281.1,237.88,Active
PLG-00221,DNR-00680,FND-007,2024-05-01,465.71,371.9,Active
PLG-00222,DNR-01096,FND-003,2024-05-21,144.72,97.6,Active
PLG-00223,DNR-01099,FND-001,2024-02-12,547.42,339.64,Active
PLG-00224,DNR-00765,FND-004,2023-09-24,490.14,304.65,Active
PLG-00225,DNR-00703,FND-007,2025-03-02,897.13,492.91,Active
PLG-00226,DNR-00994,FND-007,2026-04-10,356.52,265.68,Active
PLG-00227,DNR-00818,FND-005,2025-04-24,722.95,435.15,Active
PLG-00228,DNR-00551,FND-005,2025-04-27,476.57,400.97,Active
PLG-00229,DNR-00301,FND-002,2024-10-16,477.47,412.9,Active
PLG-00230,DNR-00979,FND-006,2025-06-05,720.8,350.26,Active
PLG-00231,DNR-00325,FND-008,2025-01-13,692.65,517.37,Active
PLG-00232,DNR-00567,FND-002,2023-11-09,1423.93,897.02,Active
PLG-00233,DNR-01079,FND-007,2024-05-16,589.55,450.77,Active
PLG-00234,DNR-00247,FND-002,2026-04-05,468.77,254.46,Active
PLG-00235,DNR-00550,FND-007,2025-06-28,555.12,299.5,Active
PLG-00236,DNR-00734,FND-007,2025-03-28,325.49,270.06,Active
PLG-00237,DNR-00903,FND-007,2024-10-29,464.09,422.03,Active
PLG-00238,DNR-00103,FND-004,2025-06-18,5070.32,5830.87,Paid in Full
PLG-00239,DNR-00125,FND-002,2025-09-19,267.02,210.71,Active
PLG-00240,DNR-00176,FND-006,2026-02-28,503.38,416.51,Active
PLG-00241,DNR-00576,FND-003,2024-03-15,451.47,325.86,Active
PLG-00242,DNR-00441,FND-005,2024-06-07,519.48,321.8,Active
PLG-00243,DNR-00100,FND-005,2025-12-09,477.59,278.76,Active
PLG-00244,DNR-00170,FND-001,2025-01-13,879.4,636.62,Active
PLG-00245,DNR-00615,FND-001,2023-11-25,120.28,24.84,Active
PLG-00246,DNR-00449,FND-008,2024-11-07,1876.51,1634.07,Active
PLG-00247,DNR-00818,FND-007,2026-03-22,1252.11,625.78,Active
PLG-00248,DNR-00535,FND-005,2025-10-31,191.93,54.4,Active
PLG-00249,DNR-01200,FND-003,2025-09-12,68.78,62.22,Active
PLG-00250,DNR-00993,FND-005,2025-10-03,250.37,58.27,Active
PLG-00251,DNR-00279,FND-001,2025-05-12,521.83,368.62,Active
PLG-00252,DNR-00613,FND-002,2024-02-05,8780.53,7020.12,Active
PLG-00253,DNR-01087,FND-006,2025-10-15,1145.11,778.03,Active
PLG-00254,DNR-00315,FND-006,2023-09-26,109.12,60.62,Active
PLG-00255,DNR-00732,FND-006,2024-09-18,333.73,112.32,Active
PLG-00256,DNR-01019,FND-008,2025-05-27,630.67,407.2,Active
PLG-00257,DNR-00183,FND-003,2025-08-30,857.21,771.32,Active
PLG-00258,DNR-00760,FND-007,2026-03-05,178.62,61.79,Active
PLG-00259,DNR-00810,FND-001,2025-12-30,581.15,414.41,Active
PLG-00260,DNR-00046,FND-008,2025-06-03,324.52,210.59,Active
PLG-00261,DNR-01153,FND-002,2026-04-29,220.58,58.62,Active
PLG-00262,DNR-00759,FND-002,2024-05-09,862.29,217.07,Active
PLG-00263,DNR-00613,FND-002,2025-03-20,1442.13,949.02,Active
PLG-00264,DNR-00422,FND-002,2025-11-26,1542.32,1053.73,Active
PLG-00265,DNR-00365,FND-004,2026-05-25,1181.32,1103.5,Active
PLG-00266,DNR-01169,FND-008,2025-01-08,404.49,333.5,Active
PLG-00267,DNR-00777,FND-006,2023-09-14,1359.06,750.17,Active
PLG-00268,DNR-00621,FND-005,2024-09-03,906.01,530.13,Active
PLG-00269,DNR-00885,FND-008,2026-04-04,760.47,540.63,Active
PLG-00270,DNR-01155,FND-003,2024-04-14,360.79,101.55,Active
PLG-00271,DNR-00545,FND-001,2026-03-24,404.69,315.96,Active
PLG-00272,DNR-00494,FND-005,2024-02-16,716.15,375.21,Active
PLG-00273,DNR-00950,FND-008,2024-03-12,7630.24,3636.72,Active
PLG-00274,DNR-00225,FND-002,2025-05-13,898.96,894.72,Active
PLG-00275,DNR-00469,FND-005,2024-12-20,360.98,258.01,Active
PLG-00276,DNR-00538,FND-008,2024-03-30,289.34,113.51,Active
PLG-00277,DNR-00960,FND-006,2025-09-29,406.76,137.63,Active
PLG-00278,DNR-00554,FND-008,2025-03-24,5868.14,2368.67,Active
PLG-00279,DNR-00767,FND-008,2024-09-11,446.19,123.23,Active
PLG-00280,DNR-00487,FND-003,2025-07-21,1647.26,1145.93,Active
PLG-00281,DNR-00037,FND-006,2026-03-22,456.72,444.57,Active
PLG-00282,DNR-01000,FND-006,2026-04-23,863.66,688.74,Active
PLG-00283,DNR-00091,FND-003,2026-06-22,1468.13,408.4,Active
PLG-00284,DNR-00241,FND-004,2025-10-18,375.44,307.38,Active
PLG-00285,DNR-00619,FND-008,2023-07-04,350.33,117.05,Active
PLG-00286,DNR-00516,FND-007,2025-12-27,3494.23,1539.09,Active
PLG-00287,DNR-01010,FND-008,2024-11-14,1780.4,1258.53,Active
PLG-00288,DNR-00716,FND-006,2025-05-27,1466.56,1436.28,Active
PLG-00289,DNR-00444,FND-008,2025-01-31,1461.58,1455.38,Active
PLG-00290,DNR-00076,FND-002,2026-01-31,1053.19,524.79,Active
PLG-00291,DNR-00796,FND-002,2023-08-09,5002.91,1102.23,Active
PLG-00292,DNR-00064,FND-001,2024-01-31,695.0,182.28,Active
PLG-00293,DNR-00785,FND-008,2025-01-03,1184.72,652.38,Active
PLG-00294,DNR-00886,FND-003,2026-06-18,155.88,102.83,Active
PLG-00295,DNR-00815,FND-003,2024-02-10,291.5,131.2,Active
PLG-00296,DNR-00485,FND-007,2025-12-28,200.17,160.02,Active
PLG-00297,DNR-00406,FND-007,2026-03-23,2378.12,1240.05,Active
PLG-00298,DNR-00730,FND-007,2023-10-02,51.8,51.79,Active
PLG-00299,DNR-00273,FND-004,2025-01-04,444.83,263.0,Active
PLG-00300,DNR-00473,FND-006,2024-02-04,33.32,27.43,Active
PLG-00301,DNR-00153,FND-005,2024-07-23,289.66,232.49,Active
PLG-00302,DNR-00635,FND-003,2026-04-04,407.1,96.77,Active
PLG-00303,DNR-00465,FND-007,2025-10-07,2656.78,1881.54,Active
PLG-00304,DNR-00643,FND-008,2025-10-25,988.93,871.1,Active
PLG-00305,DNR-00129,FND-005,2026-05-31,289.12,159.97,Active
PLG-00306,DNR-00023,FND-001,2026-01-20,1931.33,1874.57,Active
PLG-00307,DNR-00746,FND-007,2025-07-17,677.11,500.27,Active
PLG-00308,DNR-00052,FND-003,2025-06-01,690.6,447.91,Active
PLG-00309,DNR-00851,FND-004,2026-02-19,199.8,68.97,Active
PLG-00310,DNR-00140,FND-003,2026-05-03,247.15,209.54,Active
PLG-00311,DNR-00879,FND-002,2023-12-29,291.46,259.75,Active
PLG-00312,DNR-00402,FND-003,2023-12-02,696.77,591.0,Active
PLG-00313,DNR-00661,FND-003,2025-08-12,719.02,295.58,Active
PLG-00314,DNR-01002,FND-003,2025-05-13,3115.34,828.95,Active
PLG-00315,DNR-00808,FND-006,2026-01-10,977.56,828.98,Active
PLG-00316,DNR-00559,FND-007,2025-08-01,44.36,43.07,Active
PLG-00317,DNR-00650,FND-005,2025-02-06,864.92,657.39,Active
PLG-00318,DNR-00200,FND-006,2023-12-22,156.02,146.6,Active
PLG-00319,DNR-00385,FND-001,2025-05-23,253.16,93.94,Active
PLG-00320,DNR-01106,FND-002,2024-09-16,295.25,93.15,Active
PLG-00321,DNR-00879,FND-005,2024-01-21,342.63,190.38,Active
PLG-00322,DNR-01018,FND-002,2024-12-14,168.15,105.88,Active
PLG-00323,DNR-00058,FND-002,2024-12-16,815.24,412.19,Active
PLG-00324,DNR-00498,FND-006,2024-12-28,162.26,118.37,Active
PLG-00325,DNR-00228,FND-003,2025-12-24,950.2,931.03,Active
PLG-00326,DNR-00798,FND-001,2024-08-04,6229.0,2087.88,Active
PLG-00327,DNR-00809,FND-005,2026-02-14,176.03,35.43,Active
PLG-00328,DNR-01174,FND-001,2025-11-10,500.44,463.58,Active
PLG-00329,DNR-00223,FND-004,2026-02-07,53.33,38.88,Active
PLG-00330,DNR-00765,FND-001,2026-03-16,492.29,247.02,Active
PLG-00331,DNR-00135,FND-007,2024-07-14,1264.86,679.05,Active
PLG-00332,DNR-00086,FND-005,2026-06-07,1367.36,1321.92,Active
PLG-00333,DNR-00102,FND-005,2024-01-27,718.64,629.85,Active
PLG-00334,DNR-00456,FND-001,2024-10-06,1618.51,972.41,Active
PLG-00335,DNR-00793,FND-005,2025-05-03,8484.99,7711.49,Active
PLG-00336,DNR-00880,FND-008,2025-03-03,3686.03,3084.01,Active
PLG-00337,DNR-00822,FND-001,2025-04-22,394.44,113.34,Active
PLG-00338,DNR-00473,FND-001,2025-08-31,155.85,120.68,Active
PLG-00339,DNR-01166,FND-001,2026-03-23,443.12,366.77,Active
PLG-00340,DNR-00268,FND-006,2024-02-20,258.01,184.77,Active
PLG-00341,DNR-00109,FND-002,2023-11-19,1044.56,798.18,Active
PLG-00342,DNR-01176,FND-002,2024-07-19,204.14,161.25,Active
PLG-00343,DNR-01187,FND-007,2026-02-06,618.43,320.15,Active
PLG-00344,DNR-00359,FND-002,2025-05-11,1537.66,1481.67,Active
PLG-00345,DNR-00510,FND-007,2024-04-09,601.43,564.03,Active
PLG-00346,DNR-00352,FND-007,2023-07-08,258.19,212.95,Active
PLG-00347,DNR-01171,FND-001,2026-05-10,2153.42,672.89,Active
PLG-00348,DNR-01054,FND-001,2024-04-15,101.6,57.34,Active
PLG-00349,DNR-00475,FND-004,2025-07-23,479.24,427.42,Active
PLG-00350,DNR-00611,FND-004,2023-12-17,638.0,405.89,Active
PLG-00351,DNR-00491,FND-006,2023-12-20,675.81,137.47,Active
PLG-00352,DNR-00520,FND-007,2024-09-18,796.71,465.29,Active
PLG-00353,DNR-00251,FND-001,2024-05-29,1224.69,1000.81,Active
PLG-00354,DNR-00182,FND-003,2024-11-12,642.0,505.59,Active
PLG-00355,DNR-00753,FND-008,2023-07-25,460.33,161.81,Active
PLG-00356,DNR-00930,FND-002,2026-04-05,442.49,418.32,Active
PLG-00357,DNR-00996,FND-001,2024-07-28,360.86,340.35,Active
PLG-00358,DNR-00926,FND-001,2025-03-13,1461.97,330.59,Active
PLG-00359,DNR-00783,FND-001,2025-05-06,348.44,90.24,Active
PLG-00360,DNR-01108,FND-004,2025-04-17,1551.18,425.92,Active
PLG-00361,DNR-01145,FND-005,2024-02-22,677.9,248.83,Active
PLG-00362,DNR-00827,FND-008,2026-02-06,394.94,317.86,Active
PLG-00363,DNR-00125,FND-001,2025-09-02,1234.48,1101.82,Active
PLG-00364,DNR-DUP002,FND-008,2024-10-20,321.35,136.2,Active
PLG-00365,DNR-00968,FND-004,2023-09-30,1259.14,1100.75,Active
PLG-00366,DNR-01189,FND-007,2026-01-10,822.81,314.41,Active
PLG-00367,DNR-01024,FND-005,2025-05-27,366.38,170.98,Active
PLG-00368,DNR-01112,FND-005,2026-06-27,1128.49,1297.76,Paid in Full
PLG-00369,DNR-00899,FND-004,2024-02-25,1148.93,1019.13,Active
PLG-00370,DNR-00793,FND-001,2025-05-29,2116.5,1340.0,Active
