gift_id,donor_id,fund_id,campaign_id,gift_date,gift_amount,gift_type
GFT-000025,DNR-01168,FND-006,CAM-006,2023-10-30,208.7,Cash
GFT-000026,DNR-01104,FND-003,CAM-003,2025-01-26,85.7,Pledge Payment
GFT-000027,DNR-00593,FND-005,CAM-006,2025-02-19,110.96,Cash
GFT-000028,DNR-00278,FND-007,,2024-01-12,22.68,Cash
GFT-000029,DNR-00260,FND-003,CAM-001,2025-01-18,110.22,Pledge Payment
GFT-000030,DNR-00660,FND-004,CAM-004,2024-04-25,12.6,Cash
GFT-000031,DNR-00292,FND-005,CAM-004,2026-03-29,430.26,Pledge Payment
GFT-000032,DNR-00926,FND-002,,2025-08-07,289.46,Cash
GFT-000033,DNR-01056,FND-005,CAM-003,2025-10-03,62.57,Cash
GFT-000034,DNR-01000,FND-006,,2026-01-17,172.0,Matching Gift
GFT-000035,DNR-00939,FND-006,,2024-01-07,180.56,Pledge Payment
GFT-000036,DNR-00815,FND-004,CAM-004,2026-06-29,50.69,Pledge Payment
GFT-000037,DNR-01014,FND-005,CAM-003,2024-09-06,142.16,Cash
GFT-000038,DNR-00692,FND-003,CAM-005,2025-01-31,186.71,Cash
GFT-000039,DNR-00100,FND-001,,2025-06-03,138.12,Cash
GFT-000040,DNR-00034,FND-002,,2026-01-27,85.61,Cash
GFT-000041,DNR-00935,FND-001,CAM-004,2025-12-20,60.23,Pledge Payment
GFT-000042,DNR-00271,FND-005,,2024-08-18,133.06,Pledge Payment
GFT-000043,DNR-00192,FND-006,CAM-002,2025-01-12,96.71,Cash
GFT-000044,DNR-00762,FND-003,,2023-12-16,340.3,Cash
GFT-000045,DNR-00626,FND-004,CAM-004,2025-09-19,844.96,Cash
GFT-000046,DNR-00195,FND-001,CAM-001,2024-01-03,501.25,Matching Gift
GFT-000047,DNR-00160,FND-003,CAM-001,2026-03-03,193.56,Pledge Payment
GFT-000048,DNR-00912,FND-001,,2026-05-29,88.98,Stock
GFT-000049,DNR-00247,FND-007,,2025-06-03,485.27,Cash
GFT-000050,DNR-00146,FND-004,CAM-004,2026-03-05,364.56,Stock
GFT-000051,DNR-00210,FND-002,CAM-003,2023-12-30,772.11,Cash
GFT-000052,DNR-00613,FND-003,CAM-004,2025-07-22,225.28,Pledge Payment
GFT-000053,DNR-00293,FND-002,CAM-006,2024-03-29,1223.61,Cash
GFT-000054,DNR-00337,FND-008,CAM-003,2023-07-18,225.36,Cash
GFT-000055,DNR-00311,FND-007,CAM-005,2024-09-09,88.54,Stock
GFT-000056,DNR-00178,FND-002,,2024-09-17,106.46,Cash
GFT-000057,DNR-DUP007,FND-007,CAM-003,2024-03-09,322.18,Pledge Payment
GFT-000058,DNR-00645,FND-003,CAM-001,2025-11-26,96.44,Cash
GFT-000059,DNR-00173,FND-004,CAM-006,2025-01-18,1212.33,Cash
GFT-000060,DNR-00055,FND-005,CAM-001,2025-02-03,292.94,Matching Gift
GFT-000061,DNR-01044,FND-004,CAM-004,2026-05-26,189.01,Cash
GFT-000062,DNR-00112,FND-004,CAM-005,2025-02-25,206.86,Pledge Payment
GFT-000063,DNR-00231,FND-004,CAM-005,2025-08-29,136.58,Stock
GFT-000064,DNR-01082,FND-001,CAM-003,2023-11-23,28.92,Pledge Payment
GFT-000065,DNR-00271,FND-007,CAM-004,2025-04-09,106.54,Cash
GFT-000066,DNR-01119,FND-003,CAM-005,2025-07-18,1023.91,Cash
GFT-000067,DNR-00035,FND-002,,2023-11-27,232.04,Cash
GFT-000068,DNR-00442,FND-001,,2024-12-18,573.53,Pledge Payment
GFT-000069,DNR-01038,FND-005,CAM-006,2025-09-23,593.8,Matching Gift
GFT-000070,DNR-00868,FND-007,,2025-10-28,173.75,Cash
GFT-000071,DNR-00569,FND-002,CAM-002,2024-05-08,371.5,Matching Gift
GFT-000072,DNR-01048,FND-004,,2023-12-09,32.01,Cash
GFT-000073,DNR-00801,FND-002,CAM-002,2025-04-30,919.84,Pledge Payment
GFT-000074,DNR-00489,FND-001,CAM-001,2025-12-12,827.24,Cash
GFT-000075,DNR-00890,FND-002,CAM-005,2023-12-24,312.13,Cash
GFT-000076,DNR-00634,FND-003,,2023-10-21,241.47,Cash
GFT-000077,DNR-00282,FND-001,,2023-07-26,176.25,Cash
GFT-000078,DNR-00711,FND-005,,2026-04-12,658.52,Stock
GFT-000079,DNR-00260,FND-005,,2025-07-31,423.63,Cash
GFT-000080,DNR-00687,FND-007,CAM-002,2023-08-30,7.9,Pledge Payment
GFT-000081,DNR-00131,FND-005,,2026-06-07,121.67,Matching Gift
GFT-000082,DNR-00933,FND-006,,2026-04-12,52.9,Cash
GFT-000083,DNR-01161,FND-003,CAM-003,2026-04-19,43.63,Pledge Payment
GFT-000084,DNR-00523,FND-002,,2024-05-18,649.96,Cash
GFT-000085,DNR-01043,FND-001,,2024-10-10,172.15,Cash
GFT-000086,DNR-00501,FND-001,CAM-005,2023-07-26,306.36,Cash
GFT-000087,DNR-00785,FND-003,,2025-07-15,197.26,Cash
GFT-000088,DNR-01133,FND-007,CAM-001,2023-09-11,44.2,Stock
GFT-000089,DNR-00509,FND-007,CAM-003,2025-04-20,32.71,Pledge Payment
GFT-000090,DNR-00160,FND-006,,2025-01-06,113.19,Pledge Payment
GFT-000091,DNR-00108,FND-003,CAM-001,2026-04-24,123.53,Cash
GFT-000092,DNR-00095,FND-007,,2026-05-22,123.45,Pledge Payment
GFT-000093,DNR-00579,FND-005,CAM-003,2026-02-07,127.26,Stock
GFT-000094,DNR-01133,FND-008,,2023-12-24,1780.1,Stock
GFT-000095,DNR-00411,FND-005,CAM-002,2025-07-25,563.02,Cash
GFT-000096,DNR-00951,FND-006,CAM-005,2024-11-08,235.73,Cash
GFT-000097,DNR-01120,FND-004,,2024-08-04,167.54,Cash
GFT-000098,DNR-00840,FND-001,CAM-001,2023-07-14,174.0,Matching Gift
GFT-000099,DNR-00020,FND-006,,2025-06-09,405.82,Cash
GFT-000100,DNR-00630,FND-002,CAM-001,2025-08-09,165.87,Cash
GFT-000101,DNR-00488,FND-007,CAM-005,2026-06-20,496.69,Cash
GFT-000102,DNR-00292,FND-005,,2023-10-31,265.37,Cash
GFT-000103,DNR-00475,FND-007,CAM-003,2023-09-28,1803.01,Cash
GFT-000104,DNR-00174,FND-002,CAM-006,2026-01-24,155.47,Cash
GFT-000105,DNR-00808,FND-002,,2024-03-30,613.39,Cash
GFT-000106,DNR-00268,FND-004,CAM-002,2025-12-07,57.75,Pledge Payment
GFT-000107,DNR-00646,FND-007,CAM-003,2024-12-16,91.27,Stock
GFT-000108,DNR-00928,FND-005,CAM-001,2025-04-12,1488.37,Cash
GFT-000109,DNR-00416,FND-003,,2023-11-30,472.05,Matching Gift
GFT-000110,DNR-00217,FND-003,CAM-005,2024-05-14,312.7,Pledge Payment
GFT-000111,DNR-00644,FND-007,,2026-02-09,2549.77,Stock
GFT-000112,DNR-00426,FND-008,CAM-002,2025-07-03,170.14,Pledge Payment
GFT-000113,DNR-00543,FND-002,,2026-02-03,611.6,Cash
GFT-000114,DNR-00624,FND-001,CAM-001,2024-05-18,668.97,Pledge Payment
GFT-000115,DNR-00304,FND-002,CAM-001,2025-05-02,1093.1,Cash
GFT-000116,DNR-00812,FND-001,CAM-002,2025-06-28,51.37,Pledge Payment
GFT-000117,DNR-00357,FND-001,CAM-004,2024-12-14,168.92,Stock
GFT-000118,DNR-01139,FND-004,,2026-01-12,260.25,Pledge Payment
GFT-000119,DNR-00209,FND-003,,2026-02-01,1069.65,Stock
GFT-000120,DNR-00127,FND-004,,2023-07-25,298.54,Cash
GFT-000121,DNR-00821,FND-006,,2024-08-09,670.76,Stock
GFT-000122,DNR-00154,FND-001,,2024-12-12,46.98,Pledge Payment
GFT-000123,DNR-00909,FND-003,,2024-08-08,130.67,Stock
GFT-000124,DNR-00251,FND-001,CAM-005,2025-05-10,823.26,Cash
GFT-000125,DNR-00345,FND-007,CAM-004,2023-10-12,149.85,Cash
GFT-000126,DNR-00061,FND-007,CAM-004,2026-04-12,184.41,Cash
GFT-000127,DNR-00725,FND-004,,2024-06-18,1047.28,Cash
GFT-000128,DNR-00574,FND-008,,2025-01-14,71.4,Cash
GFT-000129,DNR-00504,FND-005,CAM-005,2023-09-09,89.76,Cash
GFT-000130,DNR-01128,FND-008,,2025-10-21,42.29,Cash
GFT-000131,DNR-00573,FND-007,,2023-12-27,1103.47,Pledge Payment
GFT-000132,DNR-00409,FND-004,CAM-006,2025-11-05,550.48,Cash
GFT-000133,DNR-00784,FND-006,CAM-005,2023-08-09,533.76,Cash
GFT-000134,DNR-00705,FND-006,CAM-004,2026-03-19,126.81,Cash
GFT-000135,DNR-00369,FND-001,CAM-003,2025-01-04,39.31,Pledge Payment
GFT-000136,DNR-00061,FND-005,,2024-09-21,29.67,Cash
GFT-000137,DNR-01085,FND-006,CAM-001,2026-02-21,831.06,Stock
GFT-000138,DNR-00206,FND-004,CAM-001,2024-05-22,337.07,Pledge Payment
GFT-000139,DNR-01093,FND-001,CAM-001,2024-12-27,417.72,Cash
GFT-000140,DNR-00727,FND-003,,2025-09-03,246.98,Matching Gift
GFT-000141,DNR-DUP013,FND-006,CAM-003,2024-10-27,79.09,Cash
GFT-000142,DNR-00721,FND-003,CAM-001,2023-08-27,133.12,Cash
GFT-000143,DNR-01111,FND-005,,2026-04-04,61.1,Stock
GFT-000144,DNR-00078,FND-002,,2026-03-31,53.84,Cash
GFT-000145,DNR-00449,FND-001,CAM-006,2024-10-19,497.78,Pledge Payment
GFT-000146,DNR-00002,FND-006,CAM-001,2026-03-05,32.22,Cash
GFT-000147,DNR-00698,FND-003,CAM-003,2024-03-24,61.51,Cash
GFT-000148,DNR-00045,FND-003,,2023-10-30,141.59,Pledge Payment
GFT-000149,DNR-01078,FND-006,,2024-02-13,203.55,Pledge Payment
GFT-000150,DNR-00811,FND-002,CAM-003,2025-08-04,41.79,Cash
GFT-000151,DNR-00661,FND-003,,2025-03-10,31.43,Matching Gift
GFT-000152,DNR-00998,FND-006,,2025-12-11,294.28,Cash
GFT-000153,DNR-00458,FND-003,CAM-004,2025-06-30,231.9,Cash
GFT-000154,DNR-00604,FND-003,,2025-03-20,812.86,Pledge Payment
GFT-000155,DNR-01174,FND-007,,2023-07-04,207.37,Stock
GFT-000156,DNR-00652,FND-004,,2024-07-07,329.52,Stock
GFT-000157,DNR-00289,FND-006,,2026-04-12,83.75,Pledge Payment
GFT-000158,DNR-00711,FND-006,,2024-10-30,87.43,Cash
GFT-000159,DNR-00688,FND-008,,2023-12-29,46.14,Pledge Payment
GFT-000160,DNR-00430,FND-004,,2024-12-25,84.59,Cash
GFT-000161,DNR-00526,FND-002,,2025-06-17,131.05,Pledge Payment
GFT-000162,DNR-00791,FND-008,CAM-004,2023-10-07,715.17,Cash
GFT-000163,DNR-00848,FND-008,CAM-004,2024-06-05,72.32,Pledge Payment
GFT-000164,DNR-01119,FND-007,,2025-06-19,1919.2,Cash
GFT-000165,DNR-01184,FND-004,,2026-03-08,364.0,Cash
GFT-000166,DNR-00151,FND-001,CAM-002,2026-01-10,285.77,Cash
GFT-000167,DNR-00653,FND-005,,2023-08-11,190.22,Pledge Payment
GFT-000168,DNR-00701,FND-003,CAM-004,2023-11-29,154.21,Cash
GFT-000169,DNR-00154,FND-002,CAM-003,2024-05-25,98.18,Pledge Payment
GFT-000170,DNR-00064,FND-007,,2026-03-15,40.17,Cash
GFT-000171,DNR-00322,FND-001,,2025-12-06,74.89,Cash
GFT-000172,DNR-00421,FND-004,CAM-004,2025-05-09,1099.96,Pledge Payment
GFT-000173,DNR-00577,FND-005,CAM-001,2024-12-25,338.96,Cash
GFT-000174,DNR-00102,FND-007,CAM-006,2024-01-13,1087.06,Cash
GFT-000175,DNR-00315,FND-001,CAM-003,2026-04-01,95.6,Cash
GFT-000176,DNR-00876,FND-002,CAM-002,2023-07-08,59.37,Cash
GFT-000177,DNR-00409,FND-002,,2026-03-10,188.2,Cash
GFT-000178,DNR-00350,FND-005,,2024-08-27,77.71,Stock
GFT-000179,DNR-00237,FND-005,CAM-004,2026-02-24,234.43,Stock
GFT-000180,DNR-01002,FND-005,,2026-02-19,32.74,Pledge Payment
GFT-000181,DNR-00379,FND-006,CAM-004,2025-09-01,20.22,Cash
GFT-000182,DNR-00383,FND-008,,2025-07-26,273.54,Pledge Payment
GFT-000183,DNR-00901,FND-008,CAM-002,2024-12-21,1141.19,Cash
GFT-000184,DNR-00551,FND-001,,2024-10-06,287.41,Cash
GFT-000185,DNR-00176,FND-006,CAM-006,2024-01-15,335.01,Cash
GFT-000186,DNR-DUP007,FND-004,CAM-006,2025-10-25,197.08,Pledge Payment
GFT-000187,DNR-00793,FND-007,CAM-006,2023-11-02,218.39,Cash
GFT-000188,DNR-01173,FND-004,CAM-005,2026-02-27,38.28,Cash
GFT-000189,DNR-00162,FND-007,,2025-03-04,80.71,Pledge Payment
GFT-000190,DNR-01170,FND-003,,2026-04-24,706.06,Pledge Payment
GFT-000191,DNR-00355,FND-003,CAM-001,2026-01-05,54.51,Matching Gift
GFT-000192,DNR-00259,FND-001,CAM-004,2024-07-29,127.99,Matching Gift
GFT-000193,DNR-00892,FND-004,,2023-12-08,688.43,Cash
GFT-000194,DNR-00655,FND-002,,2024-12-10,211.85,Pledge Payment
GFT-000195,DNR-01140,FND-007,CAM-006,2025-09-02,223.91,Cash
GFT-000196,DNR-00566,FND-008,,2025-04-28,129.02,Stock
GFT-000197,DNR-00860,FND-002,CAM-004,2026-06-05,395.01,Cash
GFT-000198,DNR-00304,FND-002,,2024-05-02,519.24,Cash
GFT-000199,DNR-00586,FND-006,CAM-004,2024-01-23,76.36,Cash
GFT-000200,DNR-00785,FND-008,CAM-005,2024-12-22,41.91,Matching Gift
GFT-000201,DNR-00353,FND-005,CAM-004,2023-09-15,24.05,Cash
GFT-000202,DNR-00823,FND-001,CAM-004,2024-04-20,316.96,Cash
GFT-000203,DNR-00487,FND-001,CAM-005,2025-05-09,277.95,Matching Gift
GFT-000204,DNR-00763,FND-001,CAM-003,2025-01-01,2813.82,Cash
GFT-000205,DNR-00637,FND-005,CAM-005,2025-03-12,198.35,Cash
GFT-000206,DNR-00467,FND-003,CAM-002,2024-01-18,162.59,Stock
GFT-000207,DNR-00658,FND-005,CAM-004,2025-12-24,243.26,Pledge Payment
GFT-000208,DNR-00385,FND-008,CAM-001,2023-12-30,258.23,Cash
GFT-000209,DNR-00993,FND-006,,2025-10-11,149.54,Cash
GFT-000210,DNR-00326,FND-002,CAM-002,2026-05-21,78.94,Pledge Payment
GFT-000211,DNR-00827,FND-003,CAM-006,2026-05-03,186.98,Pledge Payment
GFT-000212,DNR-00356,FND-004,CAM-001,2023-08-29,179.46,Stock
GFT-000213,DNR-00511,FND-001,CAM-005,2023-10-27,176.35,Pledge Payment
GFT-000214,DNR-00739,FND-004,CAM-002,2023-10-12,445.65,Pledge Payment
GFT-000215,DNR-00951,FND-007,,2025-07-24,183.35,Cash
GFT-000216,DNR-00496,FND-006,CAM-005,2023-09-01,42.82,Cash
GFT-000217,DNR-00364,FND-008,CAM-006,2025-12-30,92.72,Cash
GFT-000218,DNR-00706,FND-003,CAM-002,2025-06-16,147.57,Cash
GFT-000219,DNR-00584,FND-001,CAM-004,2024-01-02,192.93,Matching Gift
GFT-000220,DNR-00334,FND-004,CAM-001,2023-10-10,324.62,Cash
GFT-000221,DNR-00424,FND-005,CAM-004,2024-10-04,194.6,Cash
GFT-000222,DNR-00042,FND-001,CAM-005,2026-05-17,20.63,Cash
GFT-000223,DNR-00355,FND-001,CAM-001,2024-03-27,47.91,Pledge Payment
GFT-000224,DNR-00626,FND-005,CAM-004,2024-11-28,350.7,Pledge Payment
GFT-000225,DNR-00715,FND-008,CAM-002,2025-08-10,143.34,Cash
GFT-000226,DNR-00956,FND-005,CAM-006,2024-09-19,934.3,Matching Gift
GFT-000227,DNR-01198,FND-002,,2025-09-21,213.48,Matching Gift
GFT-000228,DNR-00767,FND-005,CAM-002,2026-05-13,125.11,Cash
GFT-000229,DNR-00987,FND-002,CAM-003,2024-02-07,92.32,Pledge Payment
GFT-000230,DNR-00666,FND-005,CAM-002,2025-01-17,129.97,Cash
GFT-000231,DNR-00386,FND-003,CAM-006,2025-03-03,216.29,Stock
GFT-000232,DNR-00117,FND-007,CAM-003,2024-11-04,181.88,Pledge Payment
GFT-000233,DNR-00053,FND-008,CAM-002,2024-04-12,515.18,Cash
GFT-000234,DNR-00858,FND-007,CAM-004,2024-12-13,35.4,Cash
GFT-000235,DNR-01195,FND-004,CAM-003,2023-09-11,40.3,Cash
GFT-000236,DNR-01095,FND-008,CAM-003,2024-09-28,141.56,Cash
GFT-000237,DNR-00615,FND-003,CAM-006,2026-05-04,328.85,Pledge Payment
GFT-000238,DNR-00602,FND-002,CAM-005,2024-07-05,417.83,Cash
GFT-000239,DNR-00530,FND-003,CAM-003,2024-03-19,96.14,Cash
GFT-000240,DNR-00456,FND-006,CAM-001,2023-12-30,10.48,Cash
GFT-000241,DNR-00862,FND-006,CAM-003,2025-03-20,99.4,Cash
GFT-000242,DNR-01200,FND-005,CAM-005,2024-12-15,278.94,Cash
GFT-000243,DNR-00964,FND-001,,2024-02-27,178.25,Cash
GFT-000244,DNR-00399,FND-002,CAM-004,2026-02-22,342.83,Cash
GFT-000245,DNR-00612,FND-007,,2026-06-20,676.02,Cash
GFT-000246,DNR-00282,FND-004,CAM-003,2024-05-04,152.26,Cash
GFT-000247,DNR-01167,FND-008,,2025-10-16,111.32,Pledge Payment
GFT-000248,DNR-00370,FND-002,CAM-005,2025-04-08,68.49,Cash
GFT-000249,DNR-00363,FND-006,,2025-05-12,40.08,Cash
GFT-000250,DNR-00926,FND-005,CAM-001,2023-07-10,30.73,Pledge Payment
GFT-000251,DNR-01181,FND-003,CAM-005,2024-06-10,86.84,Pledge Payment
GFT-000252,DNR-00266,FND-007,CAM-004,2023-12-28,569.01,Cash
GFT-000253,DNR-00879,FND-008,CAM-004,2025-10-04,382.11,Cash
GFT-000254,DNR-00078,FND-004,CAM-003,2023-07-10,105.98,Matching Gift
GFT-000255,DNR-00660,FND-004,,2023-07-29,1945.04,Pledge Payment
GFT-000256,DNR-00510,FND-004,CAM-003,2023-07-09,93.1,Stock
GFT-000257,DNR-00265,FND-002,CAM-004,2025-03-31,758.93,Cash
GFT-000258,DNR-DUP005,FND-005,,2026-04-26,1009.96,Cash
GFT-000259,DNR-00094,FND-005,CAM-002,2023-11-11,300.66,Cash
GFT-000260,DNR-01066,FND-006,CAM-004,2026-01-19,86.01,Pledge Payment
GFT-000261,DNR-00702,FND-008,CAM-003,2024-03-31,121.29,Cash
GFT-000262,DNR-00338,FND-007,,2024-07-20,222.1,Cash
GFT-000263,DNR-00460,FND-003,CAM-001,2024-10-10,41.19,Cash
GFT-000264,DNR-DUP007,FND-003,,2023-08-14,62.25,Pledge Payment
GFT-000265,DNR-00077,FND-007,CAM-002,2025-07-20,57.31,Cash
GFT-000266,DNR-00100,FND-001,,2026-06-30,327.12,Cash
GFT-000267,DNR-00099,FND-002,CAM-004,2023-08-10,667.99,Cash
GFT-000268,DNR-00779,FND-002,CAM-006,2025-12-26,399.75,Cash
GFT-000269,DNR-00972,FND-003,CAM-001,2024-11-29,542.21,Pledge Payment
GFT-000270,DNR-00617,FND-007,,2023-07-20,78.85,Cash
GFT-000271,DNR-00553,FND-003,CAM-004,2026-05-31,127.11,Pledge Payment
GFT-000272,DNR-01048,FND-002,CAM-002,2024-01-31,137.56,Pledge Payment
GFT-000273,DNR-00218,FND-008,CAM-001,2024-02-19,299.31,Cash
GFT-000274,DNR-00539,FND-004,CAM-003,2024-08-13,1961.57,Matching Gift
GFT-000275,DNR-00605,FND-003,,2025-10-17,89.31,Matching Gift
GFT-000276,DNR-00426,FND-008,CAM-003,2026-04-12,503.02,Pledge Payment
GFT-000277,DNR-00006,FND-001,,2024-10-23,973.91,Stock
GFT-000278,DNR-01176,FND-008,,2024-02-12,316.91,Pledge Payment
GFT-000279,DNR-01048,FND-002,,2024-01-01,121.33,Matching Gift
GFT-000280,DNR-00474,FND-008,CAM-002,2024-12-06,72.01,Cash
GFT-000281,DNR-00951,FND-001,,2024-12-22,57.44,Cash
GFT-000282,DNR-00081,FND-005,CAM-003,2024-06-22,20.84,Pledge Payment
GFT-000283,DNR-00873,FND-002,,2025-04-01,142.11,Stock
GFT-000284,DNR-00020,FND-003,,2023-10-02,133.69,Pledge Payment
GFT-000285,DNR-00733,FND-008,CAM-002,2025-05-04,467.09,Stock
GFT-000286,DNR-00764,FND-006,,2024-01-07,95.45,Stock
GFT-000287,DNR-00821,FND-007,CAM-005,2024-02-19,150.83,Pledge Payment
GFT-000288,DNR-00790,FND-008,CAM-004,2025-01-07,247.36,Cash
GFT-000289,DNR-00232,FND-003,,2024-06-06,311.09,Pledge Payment
GFT-000290,DNR-00213,FND-007,CAM-005,2024-05-22,406.82,Pledge Payment
GFT-000291,DNR-00372,FND-007,CAM-003,2025-12-14,221.21,Matching Gift
GFT-000292,DNR-00268,FND-008,CAM-005,2023-08-29,43.53,Matching Gift
GFT-000293,DNR-00843,FND-008,,2024-02-17,281.37,Stock
GFT-000294,DNR-00536,FND-006,,2023-11-07,88.54,Cash
GFT-000295,DNR-01181,FND-004,CAM-003,2026-06-09,707.76,Pledge Payment
GFT-000296,DNR-01072,FND-002,CAM-004,2026-05-29,185.56,Cash
GFT-000297,DNR-00987,FND-006,CAM-004,2024-11-21,236.24,Cash
GFT-000298,DNR-01144,FND-001,,2024-04-30,3171.16,Pledge Payment
GFT-000299,DNR-01036,FND-008,CAM-005,2024-05-17,415.16,Pledge Payment
GFT-000300,DNR-00154,FND-008,CAM-003,2024-06-03,275.69,Pledge Payment
GFT-000301,DNR-00678,FND-005,,2024-11-05,155.66,Cash
GFT-000302,DNR-00457,FND-007,CAM-004,2026-05-04,47.15,Cash
GFT-000303,DNR-00162,FND-008,CAM-005,2024-10-24,144.04,Stock
GFT-000304,DNR-00181,FND-008,CAM-005,2026-01-03,71.12,Cash
GFT-000305,DNR-00244,FND-008,,2025-04-08,1137.85,Pledge Payment
GFT-000306,DNR-00827,FND-007,,2024-01-27,279.82,Cash
GFT-000307,DNR-00187,FND-005,CAM-006,2023-07-01,676.07,Pledge Payment
GFT-000308,DNR-00935,FND-006,CAM-003,2024-08-27,92.69,Cash
GFT-000309,DNR-00457,FND-008,CAM-003,2023-10-20,76.45,Matching Gift
GFT-000310,DNR-00745,FND-008,,2026-02-23,369.85,Cash
GFT-000311,DNR-00455,FND-001,CAM-003,2024-01-16,68.29,Cash
GFT-000312,DNR-00598,FND-006,,2025-06-27,112.03,Stock
GFT-000313,DNR-00337,FND-008,,2023-10-02,1211.56,Stock
GFT-000314,DNR-00220,FND-005,CAM-001,2025-10-16,116.79,Pledge Payment
GFT-000315,DNR-00248,FND-007,CAM-001,2024-07-19,38.08,Pledge Payment
GFT-000316,DNR-00391,FND-006,,2026-01-22,26.13,Cash
GFT-000317,DNR-00096,FND-002,CAM-005,2025-10-26,33.84,Pledge Payment
GFT-000318,DNR-DUP006,FND-003,CAM-005,2026-01-22,726.94,Cash
GFT-000319,DNR-01087,FND-001,CAM-006,2023-07-09,98.79,Pledge Payment
GFT-000320,DNR-01199,FND-008,CAM-006,2025-12-03,3023.04,Cash
GFT-000321,DNR-01185,FND-003,,2024-06-27,988.63,Pledge Payment
GFT-000322,DNR-00794,FND-006,CAM-006,2024-01-29,1646.99,Pledge Payment
GFT-000323,DNR-00858,FND-004,CAM-002,2025-08-26,559.18,Cash
GFT-000324,DNR-00703,FND-005,CAM-005,2025-09-22,347.85,Stock
GFT-000325,DNR-00283,FND-007,CAM-006,2024-03-30,73.7,Cash
GFT-000326,DNR-01122,FND-006,CAM-006,2025-03-04,180.6,Cash
GFT-000327,DNR-00412,FND-004,CAM-002,2024-09-18,389.95,Pledge Payment
GFT-000328,DNR-00272,FND-003,CAM-006,2025-06-07,518.45,Cash
GFT-000329,DNR-00237,FND-006,CAM-006,2025-04-21,51.63,Cash
GFT-000330,DNR-01194,FND-007,CAM-006,2026-03-10,146.49,Cash
GFT-000331,DNR-00866,FND-001,CAM-006,2025-02-05,165.51,Pledge Payment
GFT-000332,DNR-00052,FND-007,,2024-02-04,158.55,Pledge Payment
GFT-000333,DNR-00116,FND-004,CAM-002,2023-10-17,58.76,Pledge Payment
GFT-000334,DNR-00587,FND-005,,2024-05-25,1393.4,Pledge Payment
GFT-000335,DNR-00605,FND-004,CAM-006,2023-11-05,141.3,Stock
GFT-000336,DNR-00735,FND-008,,2023-09-05,63.09,Cash
GFT-000337,DNR-01150,FND-007,CAM-001,2024-10-02,1440.93,Cash
GFT-000338,DNR-00590,FND-001,CAM-004,2026-05-12,989.86,Cash
GFT-000339,DNR-00854,FND-006,CAM-006,2025-09-01,211.66,Cash
GFT-000340,DNR-00027,FND-005,CAM-001,2023-10-19,25.91,Matching Gift
GFT-000341,DNR-00462,FND-006,CAM-006,2025-12-24,108.57,Stock
GFT-000342,DNR-00397,FND-005,CAM-005,2024-08-06,31.37,Stock
GFT-000343,DNR-00153,FND-003,,2024-06-28,318.93,Cash
GFT-000344,DNR-00245,FND-007,,2026-05-18,100.89,Cash
GFT-000345,DNR-00572,FND-005,,2025-11-24,175.87,Cash
GFT-000346,DNR-01197,FND-005,,2024-05-25,1273.44,Pledge Payment
GFT-000347,DNR-00956,FND-003,,2025-05-07,93.46,Pledge Payment
GFT-000348,DNR-00661,FND-001,CAM-002,2024-05-10,303.58,Cash
GFT-000349,DNR-01173,FND-006,,2026-03-31,421.02,Matching Gift
GFT-000350,DNR-01077,FND-004,,2025-04-11,698.98,Cash
